Date,Time,Site,Rep,Level,Conductivity,Salinity,DO_mgL,DO_perc,pH,Temperature,Water_depth,Secchi_depth,Chl_a,DOC,TDN,TOC,TN,Ammonia,NO2NO3,Nitrite,Orthophosphate,Silicate,Notes
2022-07-09,8:37,C2,A,1,66623,39.99,3.17,49.9,7.8,30.8,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-07-09,8:37,C2,B,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-07-09,8:37,C2,A,1.45,66624,39.99,2.05,34.4,7.8,30.8,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-07-09,8:37,C2,B,1.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-07-09,7:53,RD6,A,Surface,58350,35.48,6.03,95.5,8.04,29.3,0.9,0.8,4.32,293.9,10.8,314.1,15.7,1.269,0.185,0.137,0.424,11.189,-
2022-07-09,7:53,RD6,B,Surface,-,-,-,-,-,-,-,-,3.34,247.8,11.4,297.9,17.4,1.136,0.14,0.038,0.382,10.09,-
2022-07-09,7:53,RD6,A,0.9,58285,35.47,5.96,94.8,8.04,29.3,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-07-09,7:53,RD6,B,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-07-11,10:25,BO,A,Surface,65945,41.11,5.32,89.5,8.45,29.6,0.5,0.2,22.28,800.9,55.7,1097.5,122.5,0.622,0.167,0.166,2.139,107.719,-
2022-07-11,10:25,BO,B,Surface,-,-,-,-,-,-,-,-,20.25,791.1,54.5,1128.9,132.6,0.61,0.173,0.165,2.182,107.427,-
2022-07-11,10:25,BO,A,0.5,67488,40.81,5.21,86.5,8.54,29.6,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-07-11,10:25,BO,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-07-11,8:51,C2,A,Surface,69690,41.87,4.3,71.9,8.08,31.1,1.2,*1.2,5.51,712.6,53.5,755,76.5,0.615,0.161,0.123,0.051,140.084,* Secchi Disk visible on seafloor
2022-07-11,8:51,C2,B,Surface,-,-,-,-,-,-,-,-,7.53,651,54.4,712.7,73.4,0.932,0.163,0.066,0.03,140.68,-
2022-07-11,8:51,C2,A,0.5,69711,41.86,3.61,61.4,8.06,31.1,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-07-11,8:51,C2,B,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-07-11,8:51,C2,A,1,69716,41.87,3.74,62.7,8.04,31.1,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-07-11,8:51,C2,B,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-07-11,8:51,C2,A,1.2,69734,41.86,3.3,56,8.02,31.1,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-07-11,8:51,C2,B,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022-07-11,8:09,RD6,A,Surface,60394,36.7,5.93,95.7,8.11,29.6,0.8,0.6,2.87,166.1,10.8,220.5,18.2,0.44,0.155,0.117,0.34,9.293,-
2022-07-11,8:09,RD6,B,Surface,-,-,-,-,-,-,-,-,4.07,144.9,8.1,174.4,16.6,0.407,0.178,0.129,0.353,9.234,-
