Location,Date of sample collection,"CFU conting date, after 24 hr incubation",Sample name,Number of Yellow colony,Number of Green colony,Total colonies,Dilution Factor (Final volume/Initial volume),Volume of sample plated in mL,Total CFU/mL,variation,CFU/mL Yellow,CFU/mL Green,Remarks,*= Wet plates --> Spreading
RD6,7/8/22,7/9/22,50+50 µLA,7,11,18,2,0.1,360,g,140,220,,
RD6,7/8/22,7/9/22,50+50 µLA,4,13,17,2,0.1,340,g,80,260,,
RD6,7/8/22,7/9/22,50+50 µLA,4,12,16,2,0.1,320,g,80,240,,
Milli Q,7/8/22,7/9/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,7/8/22,7/9/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,7/9/22,7/10/22,100µLA,11,4,15,1,0.1,150,g,110,40,,
BO,7/9/22,7/10/22,100µLB,11,4,15,1,0.1,150,g,110,40,,
BO,7/9/22,7/10/22,100µLC,15,3,18,1,0.1,180,g,150,30,,
BO,7/9/22,7/10/22,50+50 µLA,4,3,7,2,0.1,140,,80,60,,
BO,7/9/22,7/10/22,50+50 µLA,1,0,1,2,0.1,20,,20,0,,
BO,7/9/22,7/10/22,50+50 µLA,4,1,5,2,0.1,100,,80,20,,
Canal 2,7/9/22,7/10/22,100µLA,81,22,103,1,0.1,1030,g,810,220,,
Canal 2,7/9/22,7/10/22,100µLB,18,3,21,1,0.1,210,g,180,30,,
Canal 2,7/9/22,7/10/22,100µLC,47,8,55,1,0.1,550,g,470,80,,
Canal 2,7/9/22,7/10/22,50+50 µLA,123,2,125,2,0.1,2500,,2460,40,,
Canal 2,7/9/22,7/10/22,50+50 µLA,8,4,12,2,0.1,240,,160,80,,
Canal 2,7/9/22,7/10/22,50+50 µLA,6,3,9,2,0.1,180,,120,60,,
RD6,7/9/22,7/10/22,100µLA,12,31,43,1,0.1,430,g,120,310,,
RD6,7/9/22,7/10/22,100µLB,10,22,32,1,0.1,320,g,100,220,,
RD6,7/9/22,7/10/22,100µLC,16,29,45,1,0.1,450,g,160,290,,
RD6,7/9/22,7/10/22,50+50 µLA,9,15,24,2,0.1,480,,180,300,,
RD6,7/9/22,7/10/22,50+50 µLA,2,7,9,2,0.1,180,,40,140,,
RD6,7/9/22,7/10/22,50+50 µLA,4,7,11,2,0.1,220,,80,140,,
Milli Q,7/9/22,7/10/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,7/9/22,7/10/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,7/11/22,7/12/22,100µLA,4,2,6,1,0.1,60,g,40,20,,
BO,7/11/22,7/12/22,100µLB,2,1,3,1,0.1,30,g,20,10,,
BO,7/11/22,7/12/22,100µLC,5,0,5,1,0.1,50,g,50,0,,
BO,7/11/22,7/12/22,50+50 µLA,0,0,0,2,0.1,0,,0,0,,
BO,7/11/22,7/12/22,50+50 µLA,3,1,4,2,0.1,80,,60,20,,
BO,7/11/22,7/12/22,50+50 µLA,1,0,1,2,0.1,20,,20,0,,
Canal 2,7/11/22,7/12/22,100µLA,5,1,6,1,0.1,60,g,50,10,,
Canal 2,7/11/22,7/12/22,100µLB,9,1,10,1,0.1,100,g,90,10,,
Canal 2,7/11/22,7/12/22,100µLC,2,1,3,1,0.1,30,g,20,10,,
Canal 2,7/11/22,7/12/22,50+50 µLA,1,0,1,2,0.1,20,,20,0,,
Canal 2,7/11/22,7/12/22,50+50 µLA,0,0,0,2,0.1,0,,0,0,,
Canal 2,7/11/22,7/12/22,50+50 µLA,0,1,1,2,0.1,20,,0,20,,
RD6,7/11/22,7/12/22,100µLA,13,11,24,1,0.1,240,g,130,110,,
RD6,7/11/22,7/12/22,100µLB,20,16,36,1,0.1,360,g,200,160,,
RD6,7/11/22,7/12/22,100µLC,3,15,18,1,0.1,180,g,30,150,,
RD6,7/11/22,7/12/22,50+50 µLA,1,0,1,2,0.1,20,,20,0,,
RD6,7/11/22,7/12/22,50+50 µLA,3,5,8,2,0.1,160,,60,100,,
RD6,7/11/22,7/12/22,50+50 µLA,8,8,16,2,0.1,320,,160,160,,
Milli Q,7/11/22,7/12/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,7/11/22,7/12/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,7/12/22,7/13/22,100µLA,9,1,10,1,0.1,100,g,90,10,,
BO,7/12/22,7/13/22,100µLB,9,10,19,1,0.1,190,g,90,100,,
BO,7/12/22,7/13/22,100µLC,9,1,10,1,0.1,100,g,90,10,,
BO,7/12/22,7/13/22,50+50 µLA,6,4,10,2,0.1,200,,120,80,,
BO,7/12/22,7/13/22,50+50 µLA,10,1,11,2,0.1,220,,200,20,,
BO,7/12/22,7/13/22,50+50 µLA,3,1,4,2,0.1,80,,60,20,,
Canal 2,7/12/22,7/13/22,100µLA,26,8,34,1,0.1,340,g,260,80,,
Canal 2,7/12/22,7/13/22,100µLB,32,15,47,1,0.1,470,g,320,150,,
Canal 2,7/12/22,7/13/22,100µLC,21,7,28,1,0.1,280,g,210,70,,
Canal 2,7/12/22,7/13/22,50+50 µLA,7,0,7,2,0.1,140,,140,0,,
Canal 2,7/12/22,7/13/22,50+50 µLA,10,1,11,2,0.1,220,,200,20,,
Canal 2,7/12/22,7/13/22,50+50 µLA,9,7,16,2,0.1,320,,180,140,,
RD6,7/12/22,7/13/22,100µLA,64,24,88,1,0.1,880,g,640,240,,
RD6,7/12/22,7/13/22,100µLB,38,26,64,1,0.1,640,g,380,260,,
RD6,7/12/22,7/13/22,100µLC,24,26,50,1,0.1,500,g,240,260,,
RD6,7/12/22,7/13/22,50+50 µLA,10,17,27,2,0.1,540,,200,340,,
RD6,7/12/22,7/13/22,50+50 µLA,11,14,25,2,0.1,500,,220,280,,
RD6,7/12/22,7/13/22,50+50 µLA,4,5,9,2,0.1,180,,80,100,,
Milli Q,7/12/22,7/13/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,7/12/22,7/13/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,7/13/22,7/14/22,100µLA,29,1,30,1,0.1,300,g,290,10,,
BO,7/13/22,7/14/22,100µLB,13,3,16,1,0.1,160,g,130,30,,
BO,7/13/22,7/14/22,100µLC,22,4,26,1,0.1,260,g,220,40,,
BO,7/13/22,7/14/22,50+50 µLA,6,0,6,2,0.1,120,,120,0,,
BO,7/13/22,7/14/22,50+50 µLA,5,1,6,2,0.1,120,,100,20,,
BO,7/13/22,7/14/22,50+50 µLA,2,0,2,2,0.1,40,,40,0,,
Canal 2,7/13/22,7/14/22,100µLA,5,2,7,1,0.1,70,g,50,20,,
Canal 2,7/13/22,7/14/22,100µLB,4,4,8,1,0.1,80,g,40,40,,
Canal 2,7/13/22,7/14/22,100µLC,2,0,2,1,0.1,20,g,20,0,,
Canal 2,7/13/22,7/14/22,50+50 µLA,0,2,2,2,0.1,40,,0,40,,
Canal 2,7/13/22,7/14/22,50+50 µLA,2,2,4,2,0.1,80,,40,40,,
Canal 2,7/13/22,7/14/22,50+50 µLA,1,0,1,2,0.1,20,,20,0,,
RD6,7/13/22,7/14/22,100µLA,3,8,11,1,0.1,110,,30,80,,
RD6,7/13/22,7/14/22,100µLB,5,11,16,1,0.1,160,,50,110,,
RD6,7/13/22,7/14/22,100µLC,4,2,6,1,0.1,60,,40,20,,
RD6,7/13/22,7/14/22,50+50 µLA,2,2,4,2,0.1,80,g,40,40,,
RD6,7/13/22,7/14/22,50+50 µLA,1,1,2,2,0.1,40,g,20,20,,
RD6,7/13/22,7/14/22,50+50 µLA,0,3,3,2,0.1,60,g,0,60,,
Milli Q,7/13/22,7/14/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,7/13/22,7/14/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,7/14/22,7/15/22,100µLA,70,3,73,1,0.1,730,,700,30,,
BO,7/14/22,7/15/22,100µLB,42,5,47,1,0.1,470,,420,50,,
BO,7/14/22,7/15/22,100µLC,63,1,64,1,0.1,640,,630,10,,
BO,7/14/22,7/15/22,50+50 µLA,18,2,20,2,0.1,400,g,360,40,,
BO,7/14/22,7/15/22,50+50 µLA,17,1,18,2,0.1,360,g,340,20,,
BO,7/14/22,7/15/22,50+50 µLA,14,2,16,2,0.1,320,g,280,40,,
Canal 2,7/14/22,7/15/22,100µLA,26,14,40,1,0.1,400,g,260,140,,
Canal 2,7/14/22,7/15/22,100µLB,6,4,10,1,0.1,100,g,60,40,,
Canal 2,7/14/22,7/15/22,100µLC,20,10,30,1,0.1,300,g,200,100,,
